code,paper,level,parent_code,label,catalog_ref,sort_order,enabled
p2-s-10-2,p2,section,p2-c-ch10,10-2 西餐廳服務流程,10-2,36,TRUE
p2-c-10-2-a,p2,concept,p2-s-10-2,10-2 A 西餐服務流程,10-2 A,110,TRUE
p2-s-10-3,p2,section,p2-c-ch10,10-3 下午茶服務流程,10-3,37,TRUE
p2-c-10-3-a,p2,concept,p2-s-10-3,10-3 A 下午茶服務流程,10-3 A,111,TRUE
p2-s-10-4,p2,section,p2-c-ch10,10-4 宴會廳服務流程,10-4,38,TRUE
p2-c-10-4-a,p2,concept,p2-s-10-4,10-4 A 宴會廳服務流程,10-4 A,112,TRUE
p2-c-ch11,p2,chapter,p2-s-1,CH11 餐廳顧客抱怨及緊急事件處理,CH11,11,TRUE
p2-s-11-1,p2,section,p2-c-ch11,11-1 顧客抱怨與其他糾紛處理,11-1,39,TRUE
p2-c-11-1-a,p2,concept,p2-s-11-1,11-1 A 顧客抱怨類型與處理步驟,11-1 A,113,TRUE
p2-c-11-1-b,p2,concept,p2-s-11-1,11-1 B 消費糾紛處理原則,11-1 B,114,TRUE
p2-s-11-2,p2,section,p2-c-ch11,11-2 餐廳客訴及緊急事件處理,11-2,40,TRUE
p2-c-11-2-a,p2,concept,p2-s-11-2,11-2 A 客訴處理程序,11-2 A,115,TRUE
p2-c-11-2-b,p2,concept,p2-s-11-2,11-2 B 意外與緊急事件應變流程,11-2 B,116,TRUE
p2-c-11-2-b1,p2,concept,p2-s-11-2,11-2 B1火災,11-2 B1,117,TRUE
p2-c-11-2-b2,p2,concept,p2-s-11-2,11-2 B2 消防法規相關,11-2 B2,118,TRUE
p2-s-41,p2,section,p2-c-ch11,餐飲服務技術綜合題,,41,TRUE
p2-c-119,p2,concept,p2-s-41,餐飲服務技術綜合題,,119,TRUE
p2-c-120,p2,concept,p2-s-41,觀光餐旅業導論＆餐飲服務技術綜合題,,120,TRUE
p2-s-2,p2,subject,,飲料實務,飲料實務,2,TRUE
