question_id,asset_id,sort_order,url,alt,caption,enabled
mock-p2-r2-y107-q004,mock-p2-r2-y107-q004-img-01,1,images/a4fc99753b4daddc10a4b4e3877a948e952390b7d23790ec3a32a1aaf63c84e7.jpg,題目圖片 1,,FALSE
mock-p2-r2-y107-q008,mock-p2-r2-y107-q008-img-01,1,images/cd495f03e03d9010e308d9f0b80129daa879d8be17f7e43c8b6055892d476b43.jpg,題目圖片 1,,FALSE
mock-p2-r2-y107-q031,mock-p2-r2-y107-q031-img-01,1,images/e0f560f2c2fc612d1be1bf9815baaa94a6ace4c78a452207e3e49008a5fc393f.jpg,題目圖片 1,,FALSE
mock-p2-r2-y107-q031,mock-p2-r2-y107-q031-img-02,2,images/ec2d48c0f08b164526f0445cba904c6d9a975f5ac9a606db87adb872ca647395.jpg,題目圖片 2,,FALSE
mock-p2-r2-y107-q031,mock-p2-r2-y107-q031-img-03,3,images/fab7bf3b59554b6e67004b5e82bf9497a6f15eaad09e22c63af01dd798cd8e81.jpg,題目圖片 3,,FALSE
mock-p2-r2-y107-q031,mock-p2-r2-y107-q031-img-04,4,images/c4fc9205860283269be05d2e0152b7d105092a62c28ae658ec58485ae37edc7a.jpg,題目圖片 4,,FALSE
mock-p2-r4-y107-q050,mock-p2-r4-y107-q050-img-01,1,images/37837bd1ca7e3fdc26de11e9d472489645a43bae7ecb12fdcb6961e6b23c299f.jpg,題目圖片 1,,FALSE
mock-p2-r5-y107-q007,mock-p2-r5-y107-q007-img-01,1,images/be5fc8f6577b9e71c270f6e88136b5a45e13c8cc55708ea96a396f993fa726cb.jpg,題目圖片 1,,FALSE
mock-p2-r5-y107-q018,mock-p2-r5-y107-q018-img-01,1,images/68778952834747975355b611c23f2f10d6984ab32af2e800a74634f0d4b468fc.jpg,題目圖片 1,,FALSE
